label,count,percentage,issues_percentage,cumulative_percentage
stale,2496,45.63071297989031,45.63071297989031,45.63071297989031
bug-unconfirmed,2458,44.93601462522852,44.93601462522852,90.56672760511884
enhancement,922,16.855575868372945,16.855575868372945,107.42230347349178
bug,292,5.338208409506398,5.338208409506398,112.76051188299817
medium severity,278,5.082266910420475,5.082266910420475,117.84277879341865
low severity,171,3.1261425959780618,3.1261425959780618,120.96892138939671
good first issue,159,2.906764168190128,2.906764168190128,123.87568555758683
high severity,151,2.760511882998172,2.760511882998172,126.63619744058501
help wanted,101,1.846435100548446,1.846435100548446,128.48263254113346
model,95,1.736745886654479,1.736745886654479,130.21937842778794
critical severity,84,1.5356489945155392,1.5356489945155392,131.75502742230347
build,60,1.0968921389396709,1.0968921389396709,132.85191956124314
server/webui,56,1.023765996343693,1.023765996343693,133.87568555758682
performance,53,0.9689213893967094,0.9689213893967094,134.84460694698353
need more info,51,0.9323583180987203,0.9323583180987203,135.77696526508225
duplicate,47,0.8592321755027422,0.8592321755027422,136.636197440585
research 🔬,37,0.676416819012797,0.676416819012797,137.31261425959778
high priority,37,0.676416819012797,0.676416819012797,137.98903107861057
question,34,0.6215722120658135,0.6215722120658135,138.61060329067638
hardware,34,0.6215722120658135,0.6215722120658135,139.2321755027422
generation quality,32,0.5850091407678245,0.5850091407678245,139.81718464351002
roadmap,30,0.5484460694698354,0.5484460694698354,140.36563071297985
refactoring,28,0.5118829981718465,0.5118829981718465,140.8775137111517
documentation,24,0.43875685557586835,0.43875685557586835,141.31627056672755
Ascend NPU,20,0.3656307129798903,0.3656307129798903,141.68190127970743
wontfix,17,0.31078610603290674,0.31078610603290674,141.99268738574034
server,15,0.2742230347349177,0.2742230347349177,142.26691042047526
Vulkan,13,0.23765996343692872,0.23765996343692872,142.50457038391218
🦙.,13,0.23765996343692872,0.23765996343692872,142.7422303473491
testing,12,0.21937842778793418,0.21937842778793418,142.96160877513705
invalid,11,0.20109689213893966,0.20109689213893966,143.162705667276
macos,10,0.18281535648994515,0.18281535648994515,143.34552102376594
windows,10,0.18281535648994515,0.18281535648994515,143.5283363802559
Intel GPU,9,0.16453382084095064,0.16453382084095064,143.69287020109684
split,9,0.16453382084095064,0.16453382084095064,143.85740402193778
AMD GPU,7,0.12797074954296161,0.12797074954296161,143.98537477148074
Nvidia GPU,7,0.12797074954296161,0.12797074954296161,144.1133455210237
llava,6,0.10968921389396709,0.10968921389396709,144.22303473491766
devops,5,0.09140767824497258,0.09140767824497258,144.31444241316262
Apple Metal,5,0.09140767824497258,0.09140767824497258,144.4058500914076
threading,5,0.09140767824497258,0.09140767824497258,144.49725776965255
android,5,0.09140767824497258,0.09140767824497258,144.5886654478975
need feedback,5,0.09140767824497258,0.09140767824497258,144.68007312614247
tts,4,0.07312614259597806,0.07312614259597806,144.75319926873846
server/api,4,0.07312614259597806,0.07312614259597806,144.82632541133444
3rd party,4,0.07312614259597806,0.07312614259597806,144.89945155393042
nix,4,0.07312614259597806,0.07312614259597806,144.9725776965264
embeddings,3,0.054844606946983544,0.054844606946983544,145.02742230347337
examples,3,0.054844606946983544,0.054844606946983544,145.08226691042034
SYCL,3,0.054844606946983544,0.054844606946983544,145.13711151736732
script,3,0.054844606946983544,0.054844606946983544,145.1919561243143
Less than 4 bits,3,0.054844606946983544,0.054844606946983544,145.24680073126126
training,2,0.03656307129798903,0.03656307129798903,145.28336380255925
kubernetes,2,0.03656307129798903,0.03656307129798903,145.31992687385724
demo,2,0.03656307129798903,0.03656307129798903,145.35648994515523
Riscv,1,0.018281535648994516,0.018281535648994516,145.3747714808042
python,1,0.018281535648994516,0.018281535648994516,145.3930530164532
Tensor Encoding Scheme,1,0.018281535648994516,0.018281535648994516,145.41133455210218
breaking change,1,0.018281535648994516,0.018281535648994516,145.42961608775116
🦅.,1,0.018281535648994516,0.018281535648994516,145.44789762340014
linux,1,0.018281535648994516,0.018281535648994516,145.46617915904912
