label,count,percentage,issues_percentage,cumulative_percentage
inactive,760,29.606544604596806,29.606544604596806,29.606544604596806
high priority,178,6.934164394234515,6.934164394234515,36.54070899883132
good first issue,169,6.5835605765485,6.5835605765485,43.12426957537982
help wanted,156,6.077132839890923,6.077132839890923,49.20140241527074
bug,94,3.6618620958317103,3.6618620958317103,52.86326451110245
deepseek,57,2.2204908453447603,2.2204908453447603,55.08375535644721
enhancement,46,1.7919750681729647,1.7919750681729647,56.87573042462018
documentation,34,1.3245033112582782,1.3245033112582782,58.200233735878456
feature,33,1.2855473315153876,1.2855473315153876,59.485781067393845
amd,29,1.1297234125438256,1.1297234125438256,60.61550447993767
collaboration,28,1.090767432800935,1.090767432800935,61.70627191273861
await-response,28,1.090767432800935,1.090767432800935,62.797039345539545
lora,24,0.9349435138293729,0.9349435138293729,63.73198285936892
speculative-decoding,24,0.9349435138293729,0.9349435138293729,64.6669263731983
MLLM,23,0.8959875340864824,0.8959875340864824,65.56291390728478
performance,20,0.7791195948578107,0.7791195948578107,66.34203350214258
new-model,19,0.7401636151149201,0.7401636151149201,67.08219711725751
quant,18,0.7012076353720296,0.7012076353720296,67.78340475262954
flashinfer,15,0.584339696143358,0.584339696143358,68.3677444487729
router,12,0.46747175691468645,0.46747175691468645,68.83521620568759
RLHF,11,0.4285157771717959,0.4285157771717959,69.26373198285938
blackwell,9,0.3506038176860148,0.3506038176860148,69.6143358005454
backlog,6,0.23373587845734323,0.23373587845734323,69.84807167900274
grammar-backend,5,0.19477989871445267,0.19477989871445267,70.0428515777172
unable-reproduce,4,0.15582391897156214,0.15582391897156214,70.19867549668876
function-calling,3,0.11686793922867161,0.11686793922867161,70.31554343591743
sgl-kernel,2,0.07791195948578107,0.07791195948578107,70.39345539540321
low-priority,2,0.07791195948578107,0.07791195948578107,70.47136735488898
wontfix,2,0.07791195948578107,0.07791195948578107,70.54927931437476
wip,2,0.07791195948578107,0.07791195948578107,70.62719127386053
microsoft,1,0.038955979742890535,0.038955979742890535,70.66614725360343
linkedin,1,0.038955979742890535,0.038955979742890535,70.70510323334632
hicache,1,0.038955979742890535,0.038955979742890535,70.74405921308922
duplicate,1,0.038955979742890535,0.038955979742890535,70.78301519283211
research,1,0.038955979742890535,0.038955979742890535,70.821971172575
intel,1,0.038955979742890535,0.038955979742890535,70.8609271523179
cpu,1,0.038955979742890535,0.038955979742890535,70.8998831320608
dependencies,1,0.038955979742890535,0.038955979742890535,70.93883911180369
