label,count,percentage,issues_percentage,cumulative_percentage
bug,3987,41.39757034575849,41.39757034575849,41.39757034575849
stale,2868,29.77883916519572,29.77883916519572,71.17640951095422
usage,1285,13.34233205274634,13.34233205274634,84.51874156370056
feature request,1092,11.33838646038833,11.33838646038833,95.8571280240889
installation,342,3.551033122209532,3.551033122209532,99.40816114629843
performance,292,3.031876232997612,3.031876232997612,102.44003737929604
new-model,244,2.533485619354169,2.533485619354169,104.97352299865021
misc,230,2.3881216903748315,2.3881216903748315,107.36164468902504
RFC,189,1.9624130412210572,1.9624130412210572,109.3240577302461
unstale,158,1.6405357699096668,1.6405357699096668,110.96459350015576
documentation,157,1.6301526321254283,1.6301526321254283,112.59474613228119
good first issue,112,1.1629114318347005,1.1629114318347005,113.75765756411589
ray,96,0.9967812272868861,0.9967812272868861,114.75443879140278
rocm,75,0.7787353338178797,0.7787353338178797,115.53317412522065
help wanted,57,0.5918388537015886,0.5918388537015886,116.12501297892224
structured-output,56,0.5814557159173502,0.5814557159173502,116.70646869483959
ci-failure,36,0.3737929602325823,0.3737929602325823,117.08026165507216
tool-calling,34,0.3530266846641055,0.3530266846641055,117.43328833973627
v1,28,0.2907278579586751,0.2907278579586751,117.72401619769494
torch.compile,28,0.2907278579586751,0.2907278579586751,118.01474405565361
release,20,0.2076627556847679,0.2076627556847679,118.22240681133837
tpu,18,0.18689648011629115,0.18689648011629115,118.40930329145466
keep-open,15,0.15574706676357594,0.15574706676357594,118.56505035821824
speculative-decoding,14,0.14536392897933756,0.14536392897933756,118.71041428719758
multi-modality,14,0.14536392897933756,0.14536392897933756,118.85577821617692
quantization,12,0.12459765341086076,0.12459765341086076,118.98037586958777
question,7,0.07268196448966878,0.07268196448966878,119.05305783407745
startup-ux,7,0.07268196448966878,0.07268196448966878,119.12573979856712
ci/build,5,0.05191568892119198,0.05191568892119198,119.17765548748832
x86-cpu,4,0.04153255113695359,0.04153255113695359,119.21918803862528
security,3,0.03114941335271519,0.03114941335271519,119.250337451978
aws-neuron,3,0.03114941335271519,0.03114941335271519,119.28148686533072
llama,2,0.020766275568476794,0.020766275568476794,119.3022531408992
release-blocker,2,0.020766275568476794,0.020766275568476794,119.32301941646767
deepseek,1,0.010383137784238397,0.010383137784238397,119.33340255425192
kernel,1,0.010383137784238397,0.010383137784238397,119.34378569203616
frontend,1,0.010383137784238397,0.010383137784238397,119.35416882982041
qwen,1,0.010383137784238397,0.010383137784238397,119.36455196760465
v0,1,0.010383137784238397,0.010383137784238397,119.3749351053889
