label,issue_count,avg_body_length,median_body_length,avg_comment_count,median_comment_count,closed_count,closure_rate,avg_resolution_days,median_resolution_days,min_resolution_days,max_resolution_days
3rd party,4,1351.5,1320.5,10.25,6.0,4,100.0,38.95081597222222,47.711284722222224,0.08546296296296296,60.29523148148148
AMD GPU,7,5642.285714285715,2901.0,10.142857142857142,8.0,7,100.0,64.5603091931217,11.913125,0.25070601851851854,223.8180787037037
Apple Metal,5,1302.4,1493.0,8.0,4.0,5,100.0,35.068354166666666,39.040046296296296,5.939548611111111,70.35237268518519
Ascend NPU,20,6615.6,2397.0,5.6,2.0,20,100.0,25.268451388888888,9.986915509259259,0.7899305555555556,83.63754629629629
Intel GPU,9,2246.3333333333335,1225.0,9.11111111111111,6.0,9,100.0,43.79296553497942,32.153946759259256,0.0005439814814814814,102.5660300925926
Less than 4 bits,3,34370.666666666664,40623.0,7.333333333333333,10.0,3,100.0,139.35207175925927,38.51322916666667,37.63619212962963,341.9067939814815
Nvidia GPU,7,3368.4285714285716,884.0,15.428571428571429,9.0,6,85.71428571428571,16.562418981481482,13.818211805555556,0.2114351851851852,47.57513888888889
Riscv,1,1908.0,1908.0,7.0,7.0,1,100.0,2.123622685185185,2.123622685185185,2.123622685185185,2.123622685185185
SYCL,3,11419.333333333334,10893.0,17.0,17.0,3,100.0,77.54170524691358,64.55565972222222,49.84564814814815,118.22380787037036
Tensor Encoding Scheme,1,1003.0,1003.0,90.0,90.0,1,100.0,202.6428125,202.6428125,202.6428125,202.6428125
Vulkan,13,4002.6153846153848,1307.0,8.76923076923077,6.0,13,100.0,40.9242183048433,34.18306712962963,0.2114351851851852,175.24422453703704
android,5,13936.2,870.0,15.0,17.0,4,80.0,127.1278125,66.96392361111111,0.13119212962962962,374.45221064814814
breaking change,1,997.0,997.0,17.0,17.0,0,0.0,,,,
bug,292,5762.965753424657,1845.0,7.565068493150685,5.0,244,83.56164383561644,55.91364901146023,6.340405092592593,0.004918981481481482,503.535162037037
bug-unconfirmed,2458,6689.855573637104,2349.5,4.645240032546786,3.0,2351,95.64686737184704,34.12116944424757,44.093125,0.00030092592592592595,270.0789814814815
build,60,3539.9,1620.5,8.45,5.0,56,93.33333333333333,75.15796668320111,2.027042824074074,0.002534722222222222,393.215462962963
critical severity,84,8330.25,5209.0,6.0,4.0,81,96.42857142857143,24.890215906492912,7.760486111111111,0.001388888888888889,123.20298611111112
demo,2,2354.0,2354.0,7.5,7.5,2,100.0,101.11905671296296,101.11905671296296,84.76605324074075,117.47206018518519
devops,5,1273.2,602.0,5.0,3.0,3,60.0,6.783341049382716,9.64556712962963,0.06940972222222222,10.635046296296297
documentation,24,1455.7083333333333,645.5,10.25,5.0,19,79.16666666666666,64.97015533625732,33.47679398148148,0.35479166666666667,393.8259953703704
duplicate,47,1661.936170212766,323.0,3.595744680851064,2.0,47,100.0,22.772898197399538,0.8974652777777777,0.002361111111111111,382.38731481481483
embeddings,3,15717.0,12866.0,6.333333333333333,7.0,2,66.66666666666666,0.5584548611111111,0.5584548611111111,0.1708912037037037,0.9460185185185185
enhancement,922,1719.9295010845988,1021.0,6.54880694143167,3.0,841,91.21475054229936,69.57998113191967,46.17653935185185,0.0005555555555555556,468.097650462963
examples,3,1889.0,2357.0,7.666666666666667,8.0,2,66.66666666666666,122.41477430555555,122.41477430555555,30.536041666666666,214.29350694444443
generation quality,32,5773.84375,801.5,11.84375,8.5,29,90.625,117.61180475734355,13.328773148148148,0.2025925925925926,393.1028935185185
good first issue,159,1830.3962264150944,632.0,9.163522012578616,4.0,119,74.84276729559748,78.44261360099598,28.922662037037036,0.07293981481481482,568.8177314814815
