label,issue_count,avg_body_length,median_body_length,avg_comment_count,median_comment_count,closed_count,closure_rate,avg_resolution_days,median_resolution_days,min_resolution_days,max_resolution_days
MLLM,23,1746.7391304347825,643.0,5.913043478260869,4.0,16,69.56521739130434,46.303424479166665,46.48822337962963,1.5174074074074073,91.23685185185185
RLHF,11,1901.090909090909,1170.0,6.7272727272727275,7.0,9,81.81818181818183,69.53511702674898,61.82144675925926,4.386018518518519,145.56804398148148
amd,29,8186.896551724138,4577.0,4.448275862068965,2.0,21,72.41379310344827,65.61740244708993,64.07199074074074,20.46667824074074,109.63686342592592
await-response,28,3873.714285714286,2361.0,5.0,4.0,26,92.85714285714286,32.469065170940176,29.83416087962963,0.11730324074074074,111.31760416666667
backlog,6,742.6666666666666,648.0,2.0,1.5,5,83.33333333333334,32.682636574074074,17.870208333333334,10.175162037037037,61.29877314814815
blackwell,9,3437.222222222222,1055.0,10.555555555555555,4.0,3,33.33333333333333,15.21545524691358,12.286076388888889,0.4395486111111111,32.92074074074074
bug,94,6492.563829787234,4398.0,4.648936170212766,3.0,81,86.17021276595744,24.182174925697304,8.693564814814815,0.04087962962962963,127.42361111111111
collaboration,28,3148.3928571428573,1211.5,28.535714285714285,4.5,13,46.42857142857143,71.35487535612536,60.377546296296295,1.149548611111111,190.43351851851853
cpu,1,2325.0,2325.0,13.0,13.0,0,0.0,,,,
deepseek,57,7485.105263157895,5211.0,14.280701754385966,5.0,52,91.22807017543859,40.49037571225071,32.980052083333334,0.01810185185185185,127.61702546296296
dependencies,1,580.0,580.0,4.0,4.0,1,100.0,63.14069444444444,63.14069444444444,63.14069444444444,63.14069444444444
documentation,34,1592.4117647058824,743.5,4.676470588235294,3.0,27,79.41176470588235,68.89332004458161,64.07199074074074,0.1335300925925926,149.17938657407407
duplicate,1,731.0,731.0,2.0,2.0,1,100.0,1.0629976851851852,1.0629976851851852,1.0629976851851852,1.0629976851851852
enhancement,46,1351.4565217391305,610.5,6.891304347826087,4.0,33,71.73913043478261,77.87609953703704,64.86402777777778,0.015601851851851851,302.1570138888889
feature,33,783.2121212121212,621.0,6.242424242424242,4.0,28,84.84848484848484,61.65524264219578,63.04212962962963,0.35864583333333333,140.8996412037037
flashinfer,15,3124.2,1926.0,4.8,4.0,14,93.33333333333333,47.404751984126975,44.806730324074074,0.9046759259259259,163.93363425925926
function-calling,3,1342.6666666666667,1328.0,6.666666666666667,6.0,1,33.33333333333333,37.274166666666666,37.274166666666666,37.274166666666666,37.274166666666666
good first issue,169,1475.7218934911243,614.0,5.106508875739645,4.0,109,64.49704142011834,58.77756466615698,35.04390046296297,0.012476851851851852,302.1570138888889
grammar-backend,5,2560.8,885.0,3.4,4.0,5,100.0,63.15950925925925,62.06383101851852,15.511018518518519,107.91446759259259
help wanted,156,2992.378205128205,1036.0,6.083333333333333,4.0,122,78.2051282051282,52.521168412264736,60.439739583333335,0.012476851851851852,176.65791666666667
hicache,1,7187.0,7187.0,5.0,5.0,1,100.0,7.388784722222222,7.388784722222222,7.388784722222222,7.388784722222222
high priority,178,4178.376404494382,993.0,5.820224719101123,3.0,129,72.47191011235955,46.19380813953487,44.454918981481484,0.006631944444444445,302.1570138888889
inactive,760,4538.980263157895,1793.5,4.102631578947369,3.0,748,98.42105263157895,81.38912575510007,64.6521875,60.06180555555556,212.6813310185185
intel,1,2325.0,2325.0,13.0,13.0,0,0.0,,,,
linkedin,1,1895.0,1895.0,6.0,6.0,0,0.0,,,,
lora,24,2161.1666666666665,1076.5,2.7916666666666665,1.5,15,62.5,57.00135262345679,17.42934027777778,0.1296875,178.67751157407406
low-priority,2,1107.0,1107.0,2.0,2.0,1,50.0,48.726539351851855,48.726539351851855,48.726539351851855,48.726539351851855
microsoft,1,1569.0,1569.0,0.0,0.0,0,0.0,,,,
new-model,19,1728.6842105263158,548.0,4.368421052631579,3.0,3,15.789473684210526,44.9491550925926,40.919895833333335,39.48056712962963,54.44700231481482
performance,20,1891.2,833.0,7.35,4.0,19,95.0,58.84169468810917,60.79260416666666,6.281666666666666,144.6644675925926
quant,18,4365.166666666667,1579.5,8.222222222222221,5.0,18,100.0,50.59914994855966,61.04068865740741,1.0131828703703705,155.60361111111112
research,1,1525.0,1525.0,4.0,4.0,1,100.0,60.77275462962963,60.77275462962963,60.77275462962963,60.77275462962963
router,12,4394.416666666667,2576.5,2.25,3.0,6,50.0,51.499585262345676,64.78241319444444,2.1057407407407407,95.82354166666667
sgl-kernel,2,1209.0,1209.0,3.5,3.5,0,0.0,,,,
speculative-decoding,24,5068.458333333333,3561.0,4.791666666666667,2.0,10,41.66666666666667,60.89206597222223,61.20951388888889,1.149548611111111,127.61702546296296
unable-reproduce,4,8626.25,9600.0,7.0,3.5,4,100.0,29.879939236111106,34.22881365740741,11.31244212962963,39.7496875
wip,2,834.0,834.0,5.0,5.0,2,100.0,109.30690972222223,109.30690972222223,78.9275,139.68631944444445
wontfix,2,3610.0,3610.0,1.0,1.0,2,100.0,17.19148148148148,17.19148148148148,0.3348726851851852,34.048090277777774
